Datum:;2016-05-16 11:52:09
Firmware-Version;0x0150;0x2100;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3001;0x3003
Sub-Index: ;0x00;0x00
Max. Proben:;512
Aufgezeichnete Proben:;230
Abtastzeitraum:;40.018
Zeit;Ist-Motorstrom gemittelt;Ist-Drehzahl gemittelt
ms;A;min-1
0.000;0.0000;0.0
40.018;0.0000;0.0
80.036;0.0000;0.0
120.054;0.0000;0.0
160.072;0.0000;0.0
200.090;0.0000;0.0
240.108;0.0000;0.0
280.126;0.0000;0.0
320.144;0.0000;0.0
360.162;0.0000;0.0
400.180;0.0000;0.0
440.198;0.0000;0.0
480.216;0.0000;0.0
520.234;0.0000;0.0
560.252;0.0000;0.0
600.270;0.0000;0.0
640.288;0.0000;0.0
680.306;0.0000;0.0
720.324;0.0000;0.0
760.342;0.0000;0.0
800.360;0.0000;0.0
840.378;0.0000;0.0
880.396;0.0000;0.0
920.414;0.0000;0.0
960.432;0.0000;0.0
1000.450;0.0000;0.0
1040.468;0.0000;0.0
1080.486;0.0000;0.0
1120.504;0.0000;0.0
1160.522;0.0000;0.0
1200.540;0.0000;0.0
1240.558;0.0000;0.0
1280.576;0.0000;0.0
1320.594;0.0000;0.0
1360.612;0.0000;0.0
1400.630;0.0000;0.0
1440.648;0.0000;0.0
1480.666;0.0000;0.0
1520.684;0.0000;36.7
1560.702;0.0000;42.3
1600.720;0.0000;38.9
1640.738;0.0000;31.0
1680.756;0.0000;27.0
1720.774;0.0000;25.0
1760.792;0.0000;18.6
1800.810;0.0000;12.9
1840.828;0.0000;10.5
1880.846;0.0000;9.8
1920.864;0.0000;9.6
1960.882;0.0000;8.7
2000.900;0.0000;7.2
2040.918;1.3783;8.4
2080.936;1.7946;370.5
2120.954;1.9156;874.5
2160.972;1.9554;1262.7
2200.990;1.9665;1549.8
2241.008;1.9699;1741.7
2281.026;1.9710;1886.9
2321.044;1.9712;2004.6
2361.062;1.9704;2121.5
2401.080;1.9699;2235.0
2441.098;1.9704;2351.2
2481.116;1.9680;2470.3
2521.134;1.9686;2589.9
2561.152;1.9660;2716.2
2601.170;1.9665;2845.1
2641.188;1.9623;2973.2
2681.206;1.9619;3102.7
2721.224;1.9576;3236.0
2761.242;1.9578;3369.2
2801.260;1.9589;3503.4
2841.278;1.9572;3642.4
2881.296;1.9527;3781.7
2921.314;1.9561;3919.1
2961.332;1.9509;4058.1
3001.350;1.9484;4195.5
3041.368;1.9469;4330.3
3081.386;1.9477;4466.8
3121.404;1.9447;4606.8
3161.422;1.9419;4740.7
3201.440;1.9402;4876.2
3241.458;1.9392;5011.3
3281.476;1.9411;5142.5
3321.494;1.9404;5271.0
3361.512;1.9350;5401.7
3401.530;1.9280;5531.8
3441.548;1.9177;5660.6
3481.566;1.8852;5772.2
3521.584;1.8373;5857.2
3561.602;1.7911;5919.9
3601.620;1.7539;5966.0
3641.638;1.7215;6007.6
3681.656;1.6926;6044.7
3721.674;1.6657;6084.4
3761.692;1.6319;6116.8
3801.710;1.6030;6152.9
3841.728;1.5768;6184.6
3881.746;1.5313;6218.5
3921.764;1.5065;6248.5
