Datum:;2016-05-29 17:50:04
Firmware-Version;0x0150;0x2100;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3001;0x3003
Sub-Index: ;0x00;0x00
Max. Proben:;512
Aufgezeichnete Proben:;451
Abtastzeitraum:;27.489
Zeit;Ist-Motorstrom gemittelt;Ist-Drehzahl gemittelt
ms;A;min-1
0.000;0.0000;0.0
27.489;0.0000;0.0
54.978;0.0000;0.0
82.467;0.0000;0.0
109.956;0.0000;0.0
137.445;0.0000;0.0
164.934;0.0000;0.0
192.423;0.0000;0.0
219.912;0.0000;0.0
247.401;0.0000;0.0
274.890;0.0000;0.0
302.379;0.0000;0.0
329.868;0.0000;0.0
357.357;0.0000;0.0
384.846;0.0000;0.0
412.335;0.0000;0.0
439.824;0.0000;0.0
467.313;0.0000;0.0
494.802;0.0000;0.0
522.291;0.0000;0.0
549.780;0.0000;0.0
577.269;0.0000;0.0
604.758;0.0000;0.0
632.247;0.0000;0.0
659.736;0.0000;0.0
687.225;0.0000;0.0
714.714;0.0000;0.0
742.203;0.0000;0.0
769.692;0.0000;0.0
797.181;0.0000;0.0
824.670;0.0000;0.0
852.159;0.0000;0.0
879.648;0.0000;0.0
907.137;0.0000;0.0
934.626;0.0000;0.0
962.115;0.0000;0.0
989.604;0.0000;0.0
1017.093;0.0000;0.0
1044.582;0.0000;0.0
1072.071;0.0000;0.0
1099.560;0.0000;0.0
1127.049;0.0000;0.0
1154.538;0.0000;0.0
1182.027;0.0000;0.0
1209.516;0.0000;0.0
1237.005;0.0000;0.0
1264.494;0.0000;0.0
1291.983;0.0000;0.0
1319.472;0.0001;0.0
1346.961;0.4014;0.0
1374.450;0.6894;0.0
1401.939;0.8104;28.9
1429.428;0.8610;80.8
1456.917;0.8831;127.7
1484.406;0.8919;172.0
1511.895;0.8966;218.1
1539.384;0.8964;273.6
1566.873;0.8955;370.3
1594.362;0.8952;484.8
1621.851;0.8968;584.0
1649.340;0.8978;651.4
1676.829;0.8990;683.9
1704.318;0.8998;685.8
1731.807;0.8983;706.2
1759.296;0.8982;741.9
1786.785;0.8992;769.3
1814.274;0.8980;794.7
1841.763;0.8983;838.3
1869.252;0.8985;875.2
1896.741;0.8986;907.3
1924.230;0.8980;952.5
1951.719;0.8987;985.1
1979.208;0.8982;1023.9
2006.697;0.8986;1063.7
2034.186;0.8975;1099.0
2061.675;0.8986;1140.9
2089.164;0.8983;1172.5
2116.653;0.8979;1209.0
2144.142;0.8976;1241.3
2171.631;0.8989;1281.1
2199.120;0.8972;1315.6
2226.609;0.8980;1356.4
2254.098;0.8974;1394.5
2281.587;0.8977;1427.5
2309.076;0.8973;1469.1
2336.565;0.8963;1505.4
2364.054;0.8968;1539.3
2391.543;0.8972;1580.0
2419.032;0.8971;1615.0
2446.521;0.8959;1649.4
2474.010;0.8960;1687.6
2501.499;0.8972;1727.3
2528.988;0.8957;1765.4
2556.477;0.8957;1800.7
2583.966;0.8968;1838.3
2611.455;0.8975;1875.4
2638.944;0.8957;1910.2
2666.433;0.8967;1944.1
2693.922;0.8963;1978.1
2721.411;0.8960;2014.1
2748.900;0.8956;2050.5
