Datum:;2016-05-16 11:53:42
Firmware-Version;0x0150;0x2100;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3001;0x3003
Sub-Index: ;0x00;0x00
Max. Proben:;512
Aufgezeichnete Proben:;512
Abtastzeitraum:;40.018
Zeit;Ist-Motorstrom gemittelt;Ist-Drehzahl gemittelt
ms;A;min-1
0.000;0.0000;0.0
40.018;0.0000;0.0
80.036;0.0000;0.0
120.054;0.0000;0.0
160.072;0.0000;0.0
200.090;0.0000;0.0
240.108;0.0000;0.0
280.126;0.0000;0.0
320.144;0.0000;0.0
360.162;0.0000;0.0
400.180;0.0910;0.0
440.198;0.1992;0.0
480.216;0.2310;0.0
520.234;0.2408;7.1
560.252;0.2437;32.3
600.270;0.2445;49.1
640.288;0.2447;63.9
680.306;0.2449;75.1
720.324;0.2450;89.9
760.342;0.2445;103.5
800.360;0.2446;116.7
840.378;0.2448;129.9
880.396;0.2445;141.8
920.414;0.2446;156.1
960.432;0.2436;166.7
1000.450;0.2425;178.4
1040.468;0.2435;190.2
1080.486;0.2448;204.7
1120.504;0.2450;214.6
1160.522;0.2445;227.8
1200.540;0.2434;240.0
1240.558;0.2423;252.8
1280.576;0.2442;261.5
1320.594;0.2448;277.2
1360.612;0.2448;287.7
1400.630;0.2453;298.6
1440.648;0.2434;310.7
1480.666;0.2422;322.3
1520.684;0.2441;334.6
1560.702;0.2444;346.6
1600.720;0.2446;357.5
1640.738;0.2448;368.8
1680.756;0.2430;380.9
1720.774;0.2430;394.0
1760.792;0.2441;405.2
1800.810;0.2444;415.9
1840.828;0.2448;428.5
1880.846;0.2447;439.3
1920.864;0.2431;450.1
1960.882;0.2420;461.5
2000.900;0.2443;472.2
2040.918;0.2444;484.1
2080.936;0.2445;496.1
2120.954;0.2444;506.3
2160.972;0.2431;518.2
2200.990;0.2425;528.7
2241.008;0.2437;540.4
2281.026;0.2444;549.8
2321.044;0.2445;561.1
2361.062;0.2443;571.3
2401.080;0.2427;581.7
2441.098;0.2423;593.5
2481.116;0.2444;604.8
2521.134;0.2449;615.9
2561.152;0.2448;626.3
2601.170;0.2443;636.0
2641.188;0.2447;647.7
2681.206;0.2443;657.7
2721.224;0.2449;669.5
2761.242;0.2443;679.4
2801.260;0.2429;690.7
2841.278;0.2427;701.5
2881.296;0.2439;711.7
2921.314;0.2443;723.0
2961.332;0.2445;733.2
3001.350;0.2447;743.9
3041.368;0.2445;754.3
3081.386;0.2447;764.8
3121.404;0.2445;774.8
3161.422;0.2440;785.6
3201.440;0.2423;795.8
3241.458;0.2430;805.4
3281.476;0.2439;816.1
3321.494;0.2450;825.3
3361.512;0.2447;836.7
3401.530;0.2448;846.2
3441.548;0.2442;858.0
3481.566;0.2443;867.4
3521.584;0.2443;877.2
3561.602;0.2449;887.6
3601.620;0.2447;897.1
3641.638;0.2448;907.5
3681.656;0.2442;918.3
3721.674;0.2432;927.3
3761.692;0.2422;937.3
3801.710;0.2430;947.0
3841.728;0.2439;957.5
3881.746;0.2429;967.3
3921.764;0.2423;975.5
3961.782;0.2432;987.1
4001.800;0.2440;996.7
4041.818;0.2428;1005.3
