Datum:;2016-05-29 17:50:54
Firmware-Version;0x0150;0x2100;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3001;0x3003
Sub-Index: ;0x00;0x00
Max. Proben:;512
Aufgezeichnete Proben:;476
Abtastzeitraum:;27.489
Zeit;Ist-Motorstrom gemittelt;Ist-Drehzahl gemittelt
ms;A;min-1
5690.223;0.3666;6345.2
5717.712;0.3681;6349.9
5745.201;0.3639;6353.9
5772.690;0.3630;6358.2
5800.179;0.3492;6362.0
5827.668;0.3482;6363.1
5855.157;0.3494;6367.7
5882.646;0.3426;6372.2
5910.135;0.3463;6375.2
5937.624;0.3382;6377.9
5965.113;0.3350;6379.1
5992.602;0.3326;6382.2
6020.091;0.3342;6386.2
6047.580;0.3358;6388.4
6075.069;0.3279;6390.7
6102.558;0.3273;6392.5
6130.047;0.3278;6394.0
6157.536;0.3214;6396.6
6185.025;0.3266;6399.5
6212.514;0.3244;6400.8
6240.003;0.3179;6403.2
6267.492;0.3093;6404.1
6294.981;0.3134;6406.2
6322.470;0.3123;6406.7
6349.959;0.3101;6407.9
6377.448;0.3059;6410.5
6404.937;0.3088;6411.5
6432.426;0.3082;6414.1
6459.915;0.3081;6415.7
6487.404;0.3065;6415.0
6514.893;0.3088;6417.5
6542.382;0.3035;6418.5
6569.871;0.3037;6418.9
6597.360;0.3059;6420.5
6624.849;0.2998;6422.5
6652.338;0.3007;6425.3
6679.827;0.2999;6426.0
6707.316;0.2990;6427.2
6734.805;0.2997;6425.5
6762.294;0.3043;6426.5
6789.783;0.2967;6426.6
6817.272;0.2968;6428.4
6844.761;0.2967;6429.9
6872.250;0.2960;6429.5
6899.739;0.2964;6430.9
6927.228;0.2977;6430.9
6954.717;0.2963;6431.2
6982.206;0.2924;6431.8
7009.695;0.2924;6432.2
7037.184;0.2914;6433.3
7064.673;0.2942;6433.5
7092.162;0.2895;6434.1
7119.651;0.2896;6434.4
7147.140;0.2898;6436.4
7174.629;0.2895;6438.2
7202.118;0.2908;6436.1
7229.607;0.2889;6437.3
7257.096;0.2893;6436.6
7284.585;0.2915;6437.4
7312.074;0.2881;6438.2
7339.563;0.2887;6439.9
7367.052;0.2888;6440.2
7394.541;0.2904;6439.7
7422.030;0.2888;6440.3
7449.519;0.2844;6441.2
7477.008;0.2849;6440.2
7504.497;0.2842;6439.8
7531.986;0.2860;6439.7
7559.475;0.2905;6439.3
7586.964;0.2849;6442.4
7614.453;0.2871;6442.3
7641.942;0.2855;6441.5
7669.431;0.2827;6443.3
7696.920;0.2861;6442.6
7724.409;0.2876;6443.4
7751.898;0.2844;6442.6
7779.387;0.2869;6441.1
7806.876;0.2782;6442.2
7834.365;0.2814;6443.0
7861.854;0.2895;6442.4
7889.343;0.2783;6442.9
7916.832;0.2743;6443.4
7944.321;0.2834;6444.9
7971.810;0.2848;6445.1
7999.299;0.2838;6444.0
8026.788;0.2889;6443.6
8054.277;0.2816;6443.0
8081.766;0.2813;6443.4
8109.255;0.2864;6443.0
8136.744;0.2852;6443.0
8164.233;0.2802;6443.8
8191.722;0.2871;6443.6
8219.211;0.2887;6443.3
8246.700;0.2849;6443.3
8274.189;0.2819;6442.4
8301.678;0.2879;6442.6
8329.167;0.2852;6444.6
8356.656;0.2860;6443.9
