Datum:;2016-05-29 17:52:00
Firmware-Version;0x0150;0x2100;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3001;0x3003
Sub-Index: ;0x00;0x00
Max. Proben:;512
Aufgezeichnete Proben:;444
Abtastzeitraum:;27.489
Zeit;Ist-Motorstrom gemittelt;Ist-Drehzahl gemittelt
ms;A;min-1
0.000;0.0000;0.0
27.489;0.0000;0.0
54.978;0.0000;0.0
82.467;0.0000;0.0
109.956;0.0000;0.0
137.445;0.0000;0.0
164.934;0.0000;0.0
192.423;0.0000;0.0
219.912;0.0000;0.0
247.401;0.0000;0.0
274.890;0.0000;0.0
302.379;0.0000;0.0
329.868;0.0000;0.0
357.357;0.0000;0.0
384.846;0.0000;0.0
412.335;0.0000;0.0
439.824;0.0000;0.0
467.313;0.0000;0.0
494.802;0.0000;0.0
522.291;0.0000;0.0
549.780;0.0000;0.0
577.269;0.0000;0.0
604.758;0.0000;0.0
632.247;0.0000;0.0
659.736;0.0000;0.0
687.225;0.0000;0.0
714.714;0.0000;0.0
742.203;0.0000;0.0
769.692;0.0000;0.0
797.181;0.0000;0.0
824.670;0.0000;0.0
852.159;0.0001;0.0
879.648;0.4211;0.0
907.137;0.9826;63.8
934.626;1.2228;358.0
962.115;1.3237;654.5
989.604;1.3657;918.1
1017.093;1.3878;1143.9
1044.582;1.3953;1320.4
1072.071;1.4001;1438.3
1099.560;1.4027;1510.8
1127.049;1.4043;1554.8
1154.538;1.4034;1618.3
1182.027;1.4037;1688.1
1209.516;1.4047;1734.0
1237.005;1.4018;1773.4
1264.494;1.4033;1837.4
1291.983;1.4032;1884.8
1319.472;1.4026;1940.0
1346.961;1.4026;1998.1
1374.450;1.4026;2050.0
1401.939;1.4028;2111.9
1429.428;1.4009;2169.5
1456.917;1.4024;2229.1
1484.406;1.4007;2292.8
1511.895;1.4006;2350.7
1539.384;1.3995;2418.9
1566.873;1.4007;2483.3
1594.362;1.3994;2545.3
1621.851;1.3976;2613.7
1649.340;1.3978;2682.6
1676.829;1.3962;2749.2
1704.318;1.3971;2816.4
1731.807;1.3979;2882.3
1759.296;1.3970;2954.1
1786.785;1.3962;3025.2
1814.274;1.3952;3096.0
1841.763;1.3955;3165.3
1869.252;1.3953;3231.9
1896.741;1.3924;3298.0
1924.230;1.3936;3363.5
1951.719;1.3927;3426.6
1979.208;1.3918;3490.0
2006.697;1.3927;3552.4
2034.186;1.3895;3615.2
2061.675;1.3901;3678.3
2089.164;1.3903;3740.2
2116.653;1.3914;3800.3
2144.142;1.3907;3859.5
2171.631;1.3907;3922.5
2199.120;1.3876;3986.7
2226.609;1.3866;4052.6
2254.098;1.3860;4126.0
2281.587;1.3836;4201.1
2309.076;1.3834;4273.5
2336.565;1.3847;4347.0
2364.054;1.3847;4419.4
2391.543;1.3844;4492.0
2419.032;1.3827;4560.9
2446.521;1.3825;4631.5
2474.010;1.3778;4700.3
2501.499;1.3814;4764.3
2528.988;1.3780;4831.4
2556.477;1.3796;4892.7
2583.966;1.3769;4956.5
2611.455;1.3761;5016.9
2638.944;1.3785;5078.7
2666.433;1.3763;5141.3
2693.922;1.3773;5198.0
