Datum:;2016-05-29 17:48:09
Firmware-Version;0x0150;0x2100;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3001;0x3003
Sub-Index: ;0x00;0x00
Max. Proben:;512
Aufgezeichnete Proben:;504
Abtastzeitraum:;27.489
Zeit;Ist-Motorstrom gemittelt;Ist-Drehzahl gemittelt
ms;A;min-1
0.000;0.0000;0.0
27.489;0.0000;0.0
54.978;0.0000;0.0
82.467;0.0000;0.0
109.956;0.0000;0.0
137.445;0.0000;0.0
164.934;0.0000;0.0
192.423;0.0000;0.0
219.912;0.0000;0.0
247.401;0.0000;0.0
274.890;0.0000;0.0
302.379;0.0000;0.0
329.868;0.0000;0.0
357.357;0.0000;0.0
384.846;0.0000;0.0
412.335;0.0000;0.0
439.824;0.0000;0.0
467.313;0.0000;0.0
494.802;0.0000;0.0
522.291;0.0000;0.0
549.780;0.0000;0.0
577.269;0.0000;0.0
604.758;0.0000;0.0
632.247;0.0000;0.0
659.736;0.0000;0.0
687.225;0.0000;0.0
714.714;0.0000;0.0
742.203;0.0000;0.0
769.692;0.0000;0.0
797.181;0.0000;0.0
824.670;0.0000;0.0
852.159;0.0000;0.0
879.648;0.0000;0.0
907.137;0.0000;0.0
934.626;0.0000;0.0
962.115;0.0000;0.0
989.604;0.0000;0.0
1017.093;0.0000;0.0
1044.582;0.0000;0.0
1072.071;0.0000;0.0
1099.560;0.0000;0.0
1127.049;0.0000;0.0
1154.538;0.0000;0.0
1182.027;0.0000;0.0
1209.516;0.0000;0.0
1237.005;0.0000;0.0
1264.494;0.0000;0.0
1291.983;0.0912;0.0
1319.472;0.2546;0.0
1346.961;0.3341;0.0
1374.450;0.3675;0.0
1401.939;0.3818;22.6
1429.428;0.3876;46.5
1456.917;0.3900;67.7
1484.406;0.3912;87.3
1511.895;0.3916;104.3
1539.384;0.3917;122.0
1566.873;0.3923;137.8
1594.362;0.3919;155.1
1621.851;0.3919;171.0
1649.340;0.3917;186.4
1676.829;0.3924;203.5
1704.318;0.3925;218.9
1731.807;0.3919;234.5
1759.296;0.3922;250.9
1786.785;0.3918;266.3
1814.274;0.3917;281.9
1841.763;0.3917;298.7
1869.252;0.3917;313.5
1896.741;0.3920;330.8
1924.230;0.3922;345.4
1951.719;0.3927;360.5
1979.208;0.3917;376.0
2006.697;0.3920;391.6
2034.186;0.3916;405.8
2061.675;0.3927;423.3
2089.164;0.3919;438.2
2116.653;0.3925;453.7
2144.142;0.3918;468.0
2171.631;0.3920;482.6
2199.120;0.3918;497.7
2226.609;0.3923;513.3
2254.098;0.3917;528.7
2281.587;0.3920;541.9
2309.076;0.3918;557.0
2336.565;0.3920;570.9
2364.054;0.3920;586.7
2391.543;0.3917;601.1
2419.032;0.3918;615.9
2446.521;0.3917;631.1
2474.010;0.3925;645.0
2501.499;0.3917;660.5
2528.988;0.3918;674.3
2556.477;0.3919;689.9
2583.966;0.3920;705.4
2611.455;0.3921;718.0
2638.944;0.3917;733.8
2666.433;0.3923;749.0
2693.922;0.3922;763.0
2721.411;0.3917;777.0
2748.900;0.3920;792.3
2776.389;0.3917;806.6
2803.878;0.3923;821.1
