Datum:;2016-05-16 11:45:37
Firmware-Version;0x0150;0x2100;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3001;0x3003
Sub-Index: ;0x00;0x00
Max. Proben:;512
Aufgezeichnete Proben:;327
Abtastzeitraum:;40.018
Zeit;Ist-Motorstrom gemittelt;Ist-Drehzahl gemittelt
ms;A;min-1
0.000;0.0000;0.0
40.018;0.0000;0.0
80.036;0.0000;0.0
120.054;0.0000;0.0
160.072;0.0000;0.0
200.090;0.0000;0.0
240.108;0.0000;0.0
280.126;0.0000;0.0
320.144;0.0000;0.0
360.162;0.0000;0.0
400.180;0.0000;0.0
440.198;0.0000;0.0
480.216;0.0000;0.0
520.234;0.0000;0.0
560.252;0.0000;0.0
600.270;0.0000;0.0
640.288;0.0000;0.0
680.306;0.0000;0.0
720.324;0.0000;0.0
760.342;0.0000;0.0
800.360;0.0000;0.0
840.378;0.0000;0.0
880.396;0.0000;0.0
920.414;0.0000;0.0
960.432;0.0000;0.0
1000.450;0.0000;0.0
1040.468;0.0000;0.0
1080.486;0.0000;0.0
1120.504;0.0000;0.0
1160.522;0.0000;0.0
1200.540;0.0000;0.0
1240.558;0.0000;0.0
1280.576;0.0000;0.0
1320.594;0.0000;0.0
1360.612;0.0000;0.0
1400.630;0.0000;0.0
1440.648;0.0000;0.0
1480.666;0.0000;0.0
1520.684;0.0000;0.0
1560.702;0.0000;0.0
1600.720;0.0000;0.0
1640.738;0.0000;0.0
1680.756;0.0000;0.0
1720.774;0.0000;0.0
1760.792;0.0000;0.0
1800.810;0.6416;0.0
1840.828;0.8880;38.5
1880.846;0.9582;117.2
1920.864;0.9780;189.5
1960.882;0.9836;257.6
2000.900;0.9859;327.7
2040.918;0.9844;392.2
2080.936;0.9857;458.9
2120.954;0.9864;523.9
2160.972;0.9858;587.8
2200.990;0.9851;651.1
2241.008;0.9863;716.6
2281.026;0.9853;781.0
2321.044;0.9855;846.0
2361.062;0.9865;910.2
2401.080;0.9863;973.6
2441.098;0.9856;1037.1
2481.116;0.9849;1100.9
2521.134;0.9846;1163.0
2561.152;0.9848;1225.7
2601.170;0.9851;1289.1
2641.188;0.9854;1351.6
2681.206;0.9856;1414.1
2721.224;0.9849;1476.2
2761.242;0.9841;1538.5
2801.260;0.9853;1599.6
2841.278;0.9847;1659.1
2881.296;0.9836;1720.3
2921.314;0.9834;1781.6
2961.332;0.9842;1841.7
3001.350;0.9841;1902.6
3041.368;0.9829;1961.9
3081.386;0.9823;2022.5
3121.404;0.9832;2082.0
3161.422;0.9821;2142.0
3201.440;0.9818;2200.3
3241.458;0.9828;2258.8
3281.476;0.9815;2316.0
3321.494;0.9821;2373.5
3361.512;0.9813;2430.0
3401.530;0.9821;2488.3
3441.548;0.9809;2544.6
3481.566;0.9798;2602.1
3521.584;0.9812;2657.7
3561.602;0.9806;2714.2
3601.620;0.9791;2770.0
3641.638;0.9800;2825.5
3681.656;0.9793;2882.1
3721.674;0.9780;2938.1
3761.692;0.9775;2993.9
3801.710;0.9776;3049.4
3841.728;0.9761;3105.1
3881.746;0.9765;3160.3
3921.764;0.9781;3215.8
