Datum:;2016-05-16 11:55:08
Firmware-Version;0x0150;0x2100;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3001;0x3003
Sub-Index: ;0x00;0x00
Max. Proben:;512
Aufgezeichnete Proben:;453
Abtastzeitraum:;40.018
Zeit;Ist-Motorstrom gemittelt;Ist-Drehzahl gemittelt
ms;A;min-1
0.000;0.0000;3.5
40.018;0.0000;19.7
80.036;0.0000;18.9
120.054;0.0000;13.7
160.072;0.0000;9.9
200.090;0.0000;7.5
240.108;0.0000;6.0
280.126;0.0000;5.0
320.144;0.0000;4.3
360.162;0.0000;3.8
400.180;0.0000;3.3
440.198;0.0000;3.0
480.216;0.0000;2.7
520.234;0.0000;2.5
560.252;0.0000;2.3
600.270;0.0000;2.1
640.288;0.0000;2.0
680.306;0.0000;1.9
720.324;0.0000;1.8
760.342;0.0000;1.7
800.360;0.0000;1.6
840.378;0.0000;1.5
880.396;0.0000;1.4
920.414;0.0000;1.3
960.432;0.0000;1.3
1000.450;0.0000;1.2
1040.468;0.2826;12.9
1080.486;0.5201;7.3
1120.504;0.5873;44.5
1160.522;0.6067;90.3
1200.540;0.6116;133.0
1240.558;0.6134;173.6
1280.576;0.6138;214.0
1320.594;0.6138;253.7
1360.612;0.6136;293.0
1400.630;0.6137;333.3
1440.648;0.6139;371.1
1480.666;0.6150;411.7
1520.684;0.6143;448.0
1560.702;0.6144;487.4
1600.720;0.6151;526.5
1640.738;0.6139;562.1
1680.756;0.6148;598.8
1720.774;0.6145;637.8
1760.792;0.6144;674.8
1800.810;0.6143;713.2
1840.828;0.6137;750.0
1880.846;0.6144;787.9
1920.864;0.6147;824.3
1960.882;0.6146;862.2
2000.900;0.6140;898.8
2040.918;0.6136;936.4
2080.936;0.6143;973.0
2120.954;0.6135;1009.2
2160.972;0.6136;1046.2
2200.990;0.6132;1082.4
2241.008;0.6132;1119.3
2281.026;0.6138;1154.4
2321.044;0.6129;1191.4
2361.062;0.6135;1227.8
2401.080;0.6131;1263.4
2441.098;0.6128;1299.4
2481.116;0.6129;1335.5
2521.134;0.6128;1370.5
2561.152;0.6134;1406.4
2601.170;0.6127;1441.2
2641.188;0.6130;1476.2
2681.206;0.6126;1511.1
2721.224;0.6127;1547.6
2761.242;0.6125;1582.5
2801.260;0.6126;1616.6
2841.278;0.6119;1650.7
2881.296;0.6127;1685.2
2921.314;0.6125;1720.1
2961.332;0.6125;1753.7
3001.350;0.6122;1787.6
3041.368;0.6116;1823.2
3081.386;0.6122;1857.0
3121.404;0.6121;1891.5
3161.422;0.6114;1924.4
3201.440;0.6117;1959.3
3241.458;0.6108;1993.8
3281.476;0.6111;2026.4
3321.494;0.6109;2060.3
3361.512;0.6113;2094.1
3401.530;0.6102;2128.1
3441.548;0.6112;2161.8
3481.566;0.6106;2195.0
3521.584;0.6100;2229.0
3561.602;0.6105;2261.2
3601.620;0.6101;2295.4
3641.638;0.6101;2327.8
3681.656;0.6107;2359.9
3721.674;0.6098;2392.6
3761.692;0.6101;2425.0
3801.710;0.6103;2459.5
3841.728;0.6097;2491.3
3881.746;0.6096;2522.3
3921.764;0.6100;2555.8
