Datum:;2016-05-16 11:49:06
Firmware-Version;0x0150;0x2100;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3001;0x3003
Sub-Index: ;0x00;0x00
Max. Proben:;512
Aufgezeichnete Proben:;259
Abtastzeitraum:;40.018
Zeit;Ist-Motorstrom gemittelt;Ist-Drehzahl gemittelt
ms;A;min-1
8243.708;0.5011;7200.2
8283.726;0.4826;7201.2
8323.744;0.4732;7199.7
8363.762;0.4780;7198.5
8403.780;0.4747;7196.6
8443.798;0.4819;7195.5
8483.816;0.4934;7197.7
8523.834;0.5157;7198.9
8563.852;0.4796;7200.3
8603.870;0.4751;7200.2
8643.888;0.4807;7198.8
8683.906;0.4968;7200.6
8723.924;0.4802;7201.7
8763.942;0.4796;7201.7
8803.960;0.4752;7201.7
8843.978;0.4944;7203.8
8883.996;0.4843;7205.4
8924.014;0.4770;7205.1
8964.032;0.4726;7205.1
9004.050;0.4816;7204.3
9044.068;0.4968;7203.5
9084.086;0.4747;7206.8
9124.104;0.4775;7204.4
9164.122;0.4984;7204.0
9204.140;0.4773;7205.8
9244.158;0.4714;7204.1
9284.176;0.4829;7205.6
9324.194;0.4783;7207.0
9364.212;0.4787;7208.1
9404.230;0.4821;7209.9
9444.248;0.4778;7209.0
9484.266;0.4849;7211.4
9524.284;0.4788;7211.8
9564.302;0.4815;7211.7
9604.320;0.4741;7211.3
9644.338;0.4711;7212.5
9684.356;0.4844;7214.2
9724.374;0.4721;7214.4
9764.392;0.4893;7214.6
9804.410;0.4716;7216.5
9844.428;0.4740;7217.0
9884.446;0.4732;7219.7
9924.464;0.4803;7221.2
9964.482;0.4845;7221.7
10004.500;0.4694;7220.9
10044.518;0.4668;7221.4
10084.536;0.4638;7222.4
10124.554;0.4632;7220.1
10164.572;0.4641;7219.2
10204.590;0.4786;7221.5
10244.608;0.4861;7219.4
10284.626;0.4825;7219.0
10324.644;0.4798;7220.4
