Datum:;2016-05-29 17:49:17
Firmware-Version;0x0150;0x2100;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3001;0x3003
Sub-Index: ;0x00;0x00
Max. Proben:;512
Aufgezeichnete Proben:;496
Abtastzeitraum:;27.489
Zeit;Ist-Motorstrom gemittelt;Ist-Drehzahl gemittelt
ms;A;min-1
0.000;0.0000;0.0
27.489;0.0000;0.0
54.978;0.0000;0.0
82.467;0.0000;0.0
109.956;0.0000;0.0
137.445;0.0000;0.0
164.934;0.0000;0.0
192.423;0.0000;0.0
219.912;0.0000;0.0
247.401;0.0000;0.0
274.890;0.0000;0.0
302.379;0.0000;0.0
329.868;0.0000;0.0
357.357;0.0000;0.0
384.846;0.0000;0.0
412.335;0.0000;0.0
439.824;0.0000;0.0
467.313;0.0000;0.0
494.802;0.0000;0.0
522.291;0.0000;0.0
549.780;0.0000;0.0
577.269;0.0000;0.0
604.758;0.0000;0.0
632.247;0.0000;0.0
659.736;0.0000;0.0
687.225;0.0000;0.0
714.714;0.0000;0.0
742.203;0.0000;0.0
769.692;0.0000;0.0
797.181;0.0000;0.0
824.670;0.0000;0.0
852.159;0.0000;0.0
879.648;0.0000;0.0
907.137;0.0000;0.0
934.626;0.0000;0.0
962.115;0.0000;0.0
989.604;0.0000;0.0
1017.093;0.0000;0.0
1044.582;0.0000;0.0
1072.071;0.0000;0.0
1099.560;0.0000;0.0
1127.049;0.0000;0.0
1154.538;0.0000;0.0
1182.027;0.0000;0.0
1209.516;0.0000;0.0
1237.005;0.0000;0.0
1264.494;0.0000;0.0
1291.983;0.0000;0.0
1319.472;0.0000;0.0
1346.961;0.0000;0.0
1374.450;0.0000;0.0
1401.939;0.0000;0.0
1429.428;0.0000;0.0
1456.917;0.0000;0.0
1484.406;0.0000;0.0
1511.895;0.0000;0.0
1539.384;0.0000;0.0
1566.873;0.0000;0.0
1594.362;0.0000;0.0
1621.851;0.0000;0.0
1649.340;0.0000;0.0
1676.829;0.0000;0.0
1704.318;0.0000;0.0
1731.807;0.0000;0.0
1759.296;0.0000;0.0
1786.785;0.0000;0.0
1814.274;0.0000;0.0
1841.763;0.0000;0.0
1869.252;0.0000;0.0
1896.741;0.0000;0.0
1924.230;0.0000;0.0
1951.719;0.0000;0.0
1979.208;0.0000;5.7
2006.697;0.2428;11.0
2034.186;0.5082;4.8
2061.675;0.6203;15.6
2089.164;0.6675;49.8
2116.653;0.6868;86.8
2144.142;0.6959;120.5
2171.631;0.6994;153.6
2199.120;0.7002;188.0
2226.609;0.7005;218.1
2254.098;0.7004;249.6
2281.587;0.7015;284.3
2309.076;0.7011;315.3
2336.565;0.7014;347.3
2364.054;0.7009;379.5
2391.543;0.7015;410.5
2419.032;0.7017;439.9
2446.521;0.7012;471.7
2474.010;0.7010;503.6
2501.499;0.7010;533.8
2528.988;0.7009;562.1
2556.477;0.7017;593.5
2583.966;0.7006;627.2
2611.455;0.7011;661.9
2638.944;0.7017;693.4
2666.433;0.7011;731.8
2693.922;0.7008;773.4
2721.411;0.7009;808.6
2748.900;0.7015;849.3
2776.389;0.7019;881.1
2803.878;0.7017;906.2
